time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/learning_rate,train/n_updates,train/clip_range,rollout/ep_len_mean,train/clip_fraction,train/loss,train/explained_variance,train/std,train/approx_kl,rollout/ep_rew_mean,train/value_loss,train/policy_gradient_loss,train/entropy_loss
400,9,1,44,,,,,,,,,,,,,
800,7,2,103,0.0005,990,0.2,404.0,0.061160714285714284,0.1767064779996872,0.5889427065849304,0.7514810562133789,0.013115375,119.672829,1.6594699957541057,-0.007125153126461166,-2.728923055103847
1200,6,3,197,0.0005,1000,0.2,385.0,0.17388392857142856,0.730954647064209,0.8880260661244392,0.733582615852356,0.016141366,107.64331266666666,1.281281612600599,-0.013838309342307703,-2.688446811267308
1600,3,4,485,0.0005,1010,0.2,224.14285714285714,0.07790178571428572,5.41527795791626,0.40278804302215576,0.7299648523330688,0.007643866,52.03726542857142,20.97363813945225,-0.01206315274217299,-2.6193157741001674
2000,3,5,505,0.0005,1020,0.2,224.14285714285714,0.07477678571428571,1.1755436658859253,0.02714747190475464,0.7277430295944214,0.020859992,52.03726542857142,8.63753816485405,-0.008761872111686638,-2.5886197532926287
2400,4,6,550,0.0005,1030,0.2,271.25,0.09709821428571429,0.712825357913971,0.5010627508163452,0.7363534569740295,0.0139674945,70.975504,4.595531103440694,-0.011228009739092418,-2.6923588820866176
